node,profile,nid,spot.channel,Min time/rank,Max time/rank,Avg time/rank,Total time,Calls/rank (min),Calls/rank (avg),Calls/rank (max),Calls (total),Min time/rank (exc),Max time/rank (exc),Avg time/rank (exc),Total time (exc),name
"{'name': 'Kokkos::Tools::invoke_kokkosp_callback: Kokkos Profile Tool Fence', 'type': 'function'}",1024118826,90.0,regionprofile,2.9653e-05,2.9653e-05,2.9653e-05,2.9653e-05,3.0,3.0,3.0,3.0,2.9653e-05,2.9653e-05,2.9653e-05,2.9653e-05,Kokkos::Tools::invoke_kokkosp_callback: Kokkos Profile Tool Fence
"{'name': 'Kokkos::View::initialization [Write counter_mirror] via memset', 'type': 'function'}",1024118826,91.0,regionprofile,7.7956e-05,7.7956e-05,7.7956e-05,7.7956e-05,1.0,1.0,1.0,1.0,4.1799e-05,4.1799e-05,4.1799e-05,4.1799e-05,Kokkos::View::initialization [Write counter_mirror] via memset
"{'name': 'HostSpace fence', 'type': 'function'}",1024118826,92.0,regionprofile,8.414e-06,8.414e-06,8.414e-06,8.414e-06,1.0,1.0,1.0,1.0,8.414e-06,8.414e-06,8.414e-06,8.414e-06,HostSpace fence
"{'name': 'Kokkos::Tools::invoke_kokkosp_callback: Kokkos Profile Tool Fence', 'type': 'function'}",1024118826,93.0,regionprofile,2.7743e-05,2.7743e-05,2.7743e-05,2.7743e-05,3.0,3.0,3.0,3.0,2.7743e-05,2.7743e-05,2.7743e-05,2.7743e-05,Kokkos::Tools::invoke_kokkosp_callback: Kokkos Profile Tool Fence
"{'name': 'Kokkos::View::initialization [UnorderedMap - size] via memset', 'type': 'function'}",1024118826,94.0,regionprofile,0.000148244,0.000148244,0.000148244,0.000148244,2.0,2.0,2.0,2.0,7.8484e-05,7.8484e-05,7.8484e-05,7.8484e-05,Kokkos::View::initialization [UnorderedMap - size] via memset
"{'name': 'HostSpace fence', 'type': 'function'}",1024118826,95.0,regionprofile,1.5303e-05,1.5303e-05,1.5303e-05,1.5303e-05,2.0,2.0,2.0,2.0,1.5303e-05,1.5303e-05,1.5303e-05,1.5303e-05,HostSpace fence
"{'name': 'Kokkos::Tools::invoke_kokkosp_callback: Kokkos Profile Tool Fence', 'type': 'function'}",1024118826,96.0,regionprofile,5.4457e-05,5.4457e-05,5.4457e-05,5.4457e-05,6.0,6.0,6.0,6.0,5.4457e-05,5.4457e-05,5.4457e-05,5.4457e-05,Kokkos::Tools::invoke_kokkosp_callback: Kokkos Profile Tool Fence
"{'name': 'Kokkos::View::initialization [UnorderedMap - bitset] via memset', 'type': 'function'}",1024118826,97.0,regionprofile,0.000136894,0.000136894,0.000136894,0.000136894,2.0,2.0,2.0,2.0,7.9487e-05,7.9487e-05,7.9487e-05,7.9487e-05,Kokkos::View::initialization [UnorderedMap - bitset] via memset
"{'name': 'Kokkos::Tools::invoke_kokkosp_callback: Kokkos Profile Tool Fence', 'type': 'function'}",1024118826,98.0,regionprofile,5.7407e-05,5.7407e-05,5.7407e-05,5.7407e-05,6.0,6.0,6.0,6.0,5.7407e-05,5.7407e-05,5.7407e-05,5.7407e-05,Kokkos::Tools::invoke_kokkosp_callback: Kokkos Profile Tool Fence
"{'name': 'Kokkos::View::initialization [UnorderedMap - keys]', 'type': 'function'}",1024118826,99.0,regionprofile,0.000126174,0.000126174,0.000126174,0.000126174,1.0,1.0,1.0,1.0,4.3514e-05,4.3514e-05,4.3514e-05,4.3514e-05,Kokkos::View::initialization [UnorderedMap - keys]
"{'name': 'Kokkos::Tools::invoke_kokkosp_callback: Kokkos Profile Tool Fence', 'type': 'function'}",1024118826,100.0,regionprofile,8.266e-05,8.266e-05,8.266e-05,8.266e-05,3.0,3.0,3.0,3.0,8.266e-05,8.266e-05,8.266e-05,8.266e-05,Kokkos::Tools::invoke_kokkosp_callback: Kokkos Profile Tool Fence
"{'name': 'Kokkos::View::initialization [UnorderedMap - values] via memset', 'type': 'function'}",1024118826,101.0,regionprofile,7.9917e-05,7.9917e-05,7.9917e-05,7.9917e-05,1.0,1.0,1.0,1.0,4.2245e-05,4.2245e-05,4.2245e-05,4.2245e-05,Kokkos::View::initialization [UnorderedMap - values] via memset
"{'name': 'Kokkos::Tools::invoke_kokkosp_callback: Kokkos Profile Tool Fence', 'type': 'function'}",1024118826,102.0,regionprofile,3.7672e-05,3.7672e-05,3.7672e-05,3.7672e-05,3.0,3.0,3.0,3.0,3.7672e-05,3.7672e-05,3.7672e-05,3.7672e-05,Kokkos::Tools::invoke_kokkosp_callback: Kokkos Profile Tool Fence
"{'name': 'Kokkos::View::initialization [UnorderedMap - scalars] via memset', 'type': 'function'}",1024118826,103.0,regionprofile,0.000129617,0.000129617,0.000129617,0.000129617,2.0,2.0,2.0,2.0,7.3024e-05,7.3024e-05,7.3024e-05,7.3024e-05,Kokkos::View::initialization [UnorderedMap - scalars] via memset
